epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1144.26,1.08616,2.36753,1.46293,0.42141,0.30534,0.31737,0.21612,1.04003,1.45885,1.38176,0.00999863,0.00333288,0.00999863,0.00333288,0.00999863,0.00333288,0.00999863,0.00333288
2,2117.51,1.0847,1.89829,1.46567,0.45221,0.34815,0.37347,0.24612,1.10831,1.47712,1.4177,0.0198006,0.00660022,0.0198006,0.00660022,0.0198006,0.00660022,0.0198006,0.00660022
3,6302.83,1.17866,2.00794,1.54328,0.28504,0.27508,0.19542,0.11645,1.31803,2.12864,1.60076,0.0294047,0.00980155,0.0294047,0.00980155,0.0294047,0.00980155,0.0294047,0.00980155
4,7177.88,1.22247,2.0917,1.5934,0.27177,0.2884,0.19982,0.12171,1.32355,2.05468,1.61243,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,8016.78,1.18868,1.97011,1.5625,0.3423,0.3032,0.24804,0.15109,1.24749,1.91206,1.56288,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8837.61,1.15152,1.8721,1.54235,0.40254,0.28754,0.29247,0.18237,1.22667,1.62526,1.53057,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,9793.44,1.12355,1.7817,1.51303,0.4091,0.30841,0.29955,0.19326,1.1999,1.709,1.50976,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10581.7,1.08931,1.7136,1.48933,0.39968,0.31232,0.30612,0.20064,1.13089,1.66365,1.44528,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11354.7,1.08043,1.68118,1.47672,0.47992,0.3229,0.33213,0.21553,1.135,1.52378,1.44689,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12123.5,1.04875,1.62041,1.45933,0.43654,0.33931,0.33035,0.21347,1.14391,1.62664,1.44,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12877.1,1.02592,1.56669,1.43687,0.43726,0.34457,0.3393,0.22519,1.1695,1.62219,1.48054,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13618.9,1.03574,1.52875,1.43895,0.4919,0.37488,0.3765,0.24272,1.10413,1.48608,1.41612,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,14354.8,1.00092,1.46321,1.41494,0.48813,0.35726,0.37254,0.25161,1.07111,1.48139,1.3819,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,15093.7,0.98507,1.44819,1.40798,0.49003,0.37832,0.37463,0.25049,1.0466,1.44407,1.37693,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,15835.3,0.98341,1.4303,1.40113,0.44348,0.33081,0.3242,0.21789,1.10719,1.54553,1.42924,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,16579.4,0.98052,1.41533,1.3998,0.50845,0.37149,0.38829,0.26437,1.02096,1.38974,1.34574,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,17616.4,0.96106,1.384,1.38936,0.50621,0.38414,0.38757,0.25828,1.05135,1.33661,1.38712,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,18922.6,0.96913,1.35253,1.38634,0.52637,0.41004,0.39652,0.26631,1.02794,1.3266,1.34651,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,19715.5,0.95031,1.34236,1.37336,0.53913,0.39555,0.42774,0.28621,1.01566,1.29687,1.35489,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,20514.9,0.94475,1.31128,1.36865,0.52635,0.39545,0.42592,0.29739,0.97647,1.26595,1.30058,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,21333.1,0.9383,1.28737,1.3606,0.51581,0.39469,0.41618,0.29345,0.94303,1.23763,1.28879,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,22134.7,0.93457,1.2699,1.35619,0.54816,0.41327,0.44297,0.30403,0.97329,1.24092,1.31028,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,22941.2,0.92984,1.2581,1.35011,0.53619,0.40415,0.42281,0.29386,0.9696,1.26069,1.30116,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,23772.7,0.91825,1.24161,1.33912,0.5516,0.40628,0.44255,0.30199,0.96891,1.20533,1.29833,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,24965.9,0.91321,1.22837,1.34105,0.53217,0.40073,0.43049,0.29627,1.00072,1.34893,1.3158,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,25885.5,0.90937,1.19461,1.33161,0.53909,0.40442,0.44385,0.31039,0.94123,1.18712,1.27673,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,26773.3,0.89712,1.19521,1.3255,0.5401,0.41915,0.45536,0.31197,0.94847,1.20423,1.28222,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,27650.5,0.90214,1.18606,1.32395,0.53722,0.42343,0.45049,0.30197,0.97315,1.18184,1.29918,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,28526.7,0.89684,1.16196,1.3211,0.55696,0.43059,0.46576,0.31853,0.93596,1.17869,1.25945,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,29671.2,0.89576,1.15098,1.32065,0.5566,0.39883,0.43676,0.30617,0.92663,1.16998,1.25205,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,30803.5,0.88345,1.13933,1.31027,0.57085,0.4241,0.46192,0.32241,0.91517,1.12285,1.25309,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,923.406,0.87946,1.1493,1.30895,0.57968,0.41018,0.46698,0.32746,0.92705,1.15477,1.25606,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1789.7,0.8844,1.14115,1.3129,0.56857,0.42405,0.46256,0.31663,0.9434,1.24309,1.27282,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2665.03,0.88404,1.13754,1.3098,0.57735,0.43459,0.47499,0.32935,0.9155,1.12376,1.2461,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3519.42,0.87473,1.10984,1.30727,0.56929,0.42623,0.45727,0.31713,0.9255,1.095,1.25968,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4375.62,0.8853,1.10854,1.31184,0.57044,0.43643,0.47763,0.33595,0.90098,1.05269,1.23854,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5246.14,0.87497,1.10846,1.3019,0.56568,0.43705,0.48857,0.3426,0.92474,1.09746,1.24071,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6125.59,0.87754,1.08189,1.29964,0.5584,0.43109,0.4771,0.33276,0.91418,1.09743,1.24104,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6999.92,0.8561,1.07569,1.29009,0.59129,0.44211,0.49168,0.34818,0.90546,1.08866,1.24557,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7837.02,0.8696,1.07938,1.2944,0.59124,0.45635,0.49744,0.34849,0.90516,1.07219,1.24603,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8649.12,0.85031,1.0435,1.28654,0.60315,0.43449,0.49292,0.34345,0.91216,1.09522,1.26715,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9459.55,0.84208,1.03536,1.27798,0.6001,0.44844,0.50015,0.35187,0.88017,1.03643,1.21173,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10267.9,0.85955,1.02451,1.28845,0.60626,0.45975,0.50681,0.353,0.90145,1.01784,1.22696,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11075.1,0.83527,1.00029,1.2701,0.61067,0.45118,0.49799,0.34851,0.89673,1.06298,1.23284,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11884.7,0.82939,0.98789,1.26761,0.57685,0.46094,0.48315,0.33684,0.89222,1.04482,1.22353,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12694.3,0.83082,0.98407,1.26798,0.58665,0.44779,0.49155,0.33939,0.88905,1.03502,1.22736,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13508.6,0.83177,0.98172,1.26849,0.58975,0.4474,0.49921,0.35001,0.88548,1.04181,1.22736,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14320.7,0.81422,0.97033,1.25774,0.59581,0.46372,0.50369,0.35322,0.88509,1.01028,1.22728,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15139.1,0.83202,0.9639,1.26568,0.60024,0.47576,0.51085,0.35688,0.88252,0.99555,1.21611,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15963.6,0.8144,0.94396,1.257,0.60849,0.47681,0.5231,0.3681,0.88833,1.00206,1.22344,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16943.6,0.8106,0.92677,1.25048,0.61825,0.47902,0.5252,0.3712,0.86342,0.94933,1.19748,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,974.63,0.79167,0.88749,1.23472,0.59555,0.47502,0.51996,0.36561,0.86872,0.96961,1.20179,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1926.43,0.79174,0.88209,1.23621,0.60956,0.47273,0.52279,0.36789,0.87461,0.96852,1.20636,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2995.76,0.79237,0.88539,1.23037,0.61105,0.4666,0.52176,0.36696,0.86787,0.97567,1.20432,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3977.94,0.78349,0.85965,1.23001,0.59319,0.47134,0.51468,0.36034,0.87772,0.98792,1.21547,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4852.55,0.79258,0.85858,1.23013,0.60197,0.46529,0.51473,0.35988,0.88175,0.99038,1.21136,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5700.75,0.78047,0.85247,1.22624,0.60883,0.47024,0.51856,0.36489,0.8634,0.97333,1.19879,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6549.23,0.78262,0.83326,1.22161,0.61253,0.4758,0.52081,0.36747,0.86673,0.97384,1.19909,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7393.64,0.7695,0.83466,1.21718,0.6114,0.47578,0.53957,0.38467,0.85642,0.94655,1.19363,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8241.51,0.77811,0.82971,1.22061,0.62375,0.47119,0.53325,0.38019,0.85315,0.95929,1.19257,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9094.79,0.76507,0.81867,1.21533,0.61464,0.46331,0.52662,0.37447,0.85541,0.9554,1.19956,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9959.54,0.75316,0.79792,1.20465,0.61228,0.47701,0.53302,0.37728,0.86289,0.95629,1.20185,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10842,0.77352,0.79134,1.21545,0.60566,0.47797,0.52845,0.37149,0.87372,0.96613,1.20775,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11708.8,0.75017,0.76608,1.19858,0.60246,0.48273,0.53313,0.37768,0.86875,0.94519,1.20657,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12555.9,0.74465,0.75975,1.19446,0.61131,0.48241,0.53115,0.37535,0.85946,0.9415,1.19305,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13404.3,0.74842,0.76066,1.19698,0.62022,0.47703,0.53284,0.37494,0.86463,0.93822,1.19725,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14254.5,0.74616,0.75324,1.19602,0.61762,0.48133,0.53243,0.37757,0.85795,0.92924,1.19507,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15093.9,0.73664,0.74693,1.19375,0.60721,0.47603,0.52601,0.37044,0.87134,0.95561,1.21141,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15930.3,0.75041,0.74286,1.19861,0.61428,0.46756,0.52473,0.36938,0.88262,0.96072,1.22484,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16770.8,0.733,0.72781,1.18678,0.62263,0.47321,0.53186,0.37683,0.86648,0.93712,1.20502,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17687.6,0.73744,0.73519,1.19376,0.64037,0.47224,0.53542,0.37735,0.87406,0.93808,1.22082,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18603.1,0.75605,0.77864,1.20746,0.61542,0.48267,0.53575,0.37988,0.86794,0.92948,1.21312,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,19475.3,0.75197,0.77121,1.20267,0.63163,0.48299,0.546,0.38706,0.87138,0.92829,1.21919,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20311.4,0.75233,0.76242,1.19779,0.62014,0.48203,0.54345,0.38594,0.86259,0.93477,1.20952,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,21149.9,0.74661,0.7562,1.19327,0.62899,0.49957,0.5487,0.3891,0.85739,0.91894,1.19718,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21987.4,0.73802,0.75256,1.19179,0.64788,0.48532,0.54966,0.39078,0.85072,0.91435,1.18644,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,22828.4,0.74167,0.73402,1.18724,0.63795,0.48927,0.5533,0.39509,0.84665,0.90434,1.18125,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23666.3,0.73135,0.73424,1.18519,0.60958,0.4996,0.55397,0.3957,0.84048,0.90058,1.17632,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24506.4,0.73497,0.72568,1.18457,0.63339,0.4972,0.55496,0.39717,0.83923,0.89058,1.17721,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,25513.7,0.73314,0.71844,1.18348,0.62961,0.49056,0.55033,0.39555,0.84537,0.90054,1.18455,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,26629.4,0.73375,0.71617,1.18702,0.62873,0.4943,0.54785,0.39286,0.83909,0.8962,1.17744,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,27560.4,0.72224,0.70358,1.17805,0.63262,0.49299,0.54625,0.39194,0.83569,0.89642,1.17667,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,28628.8,0.7225,0.71432,1.18223,0.62191,0.50279,0.54787,0.39397,0.83599,0.89662,1.17601,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,29694.8,0.72816,0.70329,1.18106,0.6347,0.48994,0.54987,0.39492,0.83701,0.88963,1.17627,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,30552.8,0.7238,0.70702,1.17791,0.62594,0.49751,0.54961,0.39427,0.83661,0.88368,1.17501,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31390.4,0.72368,0.69654,1.17753,0.6216,0.4958,0.54926,0.39404,0.83717,0.87636,1.17802,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,32226.6,0.72137,0.68616,1.17728,0.61452,0.49425,0.54927,0.39455,0.83635,0.87283,1.17839,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,33064.1,0.71223,0.68126,1.17079,0.63091,0.48393,0.54801,0.39424,0.83749,0.87469,1.17986,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
